AccidentType,Date,Time,Reason
perturbation,2019/5/13,16:51:31,Passenger reason
perturbation,2019/5/13,6:16:45,Track construction
perturbation,2019/5/12,20:30:35,Techique reason
perturbation,2019/5/12,20:26:33,Techique reason
perturbation,2019/5/7,8:12:37,Techique reason
perturbation,2019/4/30,7:44:04,Techique reason
perturbation,2019/4/28,20:56:34,Security reason
perturbation,2019/4/27,9:35:36,Technique reason
perturbation,2019/4/26,8:58:38,Security reason
perturbation,2019/4/24,19:35:34,Passenger reason
perturbation,2019/4/24,12:20:35,Technique reason
perturbation,2019/4/24,10:01:44,Passenger reason
perturbation,2019/4/24,9:06:40,Passenger reason
perturbation,2019/4/19,17:55:47,Passenger reason
perturbation,2019/4/17,18:47:52,Security reason
perturbation,2019/4/17,18:02:44,Security reason
perturbation,2019/4/16,20:07:38,Passenger reason
perturbation,2019/4/16,8:22:22,Security reason
perturbation,2019/4/15,16:39:32,Passenger reason
perturbation,2019/4/15,16:37:08,Passenger reason
perturbation,2019/4/12,7:40:50,Techique reason
perturbation,2019/4/12,7:33:40,Techique reason
perturbation,2019/4/11,18:44:52,Passenger reason
perturbation,2019/4/11,9:30:42,Techique reason
perturbation,2019/4/10,15:55:33,Technique reason
perturbation,2019/4/10,14:53:30,Technique reason
perturbation,2019/4/9,18:59:50,Passenger reason
perturbation,2019/4/8,9:15:40,Passenger reason
perturbation,2019/4/6,19:29:33,Operation problem
perturbation,2019/4/2,8:59:50,Techique reason
perturbation,2019/4/1,7:06:32,Technique reason
perturbation,2019/3/29,11:27:32,Passenger reason
perturbation,2019/3/27,16:22:41,Technique reason
perturbation,2019/3/26,20:52:35,Passenger reason
perturbation,2019/3/26,7:56:38,Techique reason
perturbation,2019/3/20,18:16:58,Techique reason
perturbation,2019/3/20,6:56:34,Technique reason
perturbation,2019/3/18,20:49:42,Passenger reason
perturbation,2019/3/18,8:28:36,Techique reason
perturbation,2019/3/13,18:06:49,Techique reason
perturbation,2019/3/13,17:31:49,Techique reason
perturbation,2019/3/10,17:48:34,Technique reason
perturbation,2019/3/7,12:48:30,Techique reason
perturbation,2019/3/7,12:46:29,Techique reason
perturbation,2019/3/6,18:06:43,Passenger reason
perturbation,2019/3/5,9:05:06,Passenger reason
perturbation,2019/3/5,8:51:37,Passenger reason
perturbation,2019/2/28,10:22:31,Passenger reason
perturbation,2019/2/27,6:41:32,Passenger reason
perturbation,2019/2/22,7:51:48,Techique reason
perturbation,2019/2/21,18:17:33,Passenger reason
perturbation,2019/2/21,17:44:29,Techique reason
perturbation,2019/2/21,9:36:34,Passenger reason
perturbation,2019/2/21,5:35:11,Operation problem
perturbation,2019/2/20,18:26:50,Passenger reason
perturbation,2019/2/20,18:02:16,Passenger reason
perturbation,2019/2/20,17:12:49,Passenger reason
perturbation,2019/2/20,15:17:34,Techique reason
perturbation,2019/2/18,18:03:38,Techique reason
perturbation,2019/2/18,8:44:31,Security reason
perturbation,2019/2/16,11:44:30,Operation problem
perturbation,2019/2/15,9:27:32,Passenger reason
perturbation,2019/2/15,8:53:54,Passenger reason
perturbation,2019/2/14,18:19:41,Techique reason
perturbation,2019/2/14,17:24:33,Techique reason
perturbation,2019/2/13,19:24:30,Techique reason
perturbation,2019/2/13,14:12:31,Passenger reason
perturbation,2019/2/13,9:08:44,Passenger reason
perturbation,2019/2/13,6:50:34,Track construction
perturbation,2019/2/12,10:06:37,Passenger reason
perturbation,2019/2/12,6:40:35,Techique reason
perturbation,2019/2/8,12:00:37,Techique reason
perturbation,2019/2/7,12:43:37,Passenger reason
perturbation,2019/2/4,20:43:29,Technique reason
perturbation,2019/2/4,20:34:36,Technique reason
perturbation,2019/2/4,7:42:59,Technique reason
perturbation,2019/2/1,5:34:31,Technique reason
perturbation,2019/1/31,7:44:18,Technique reason
perturbation,2019/1/31,6:57:05,Technique reason
perturbation,2019/1/31,6:56:05,Technique reason
perturbation,2019/1/31,6:39:32,Technique reason
perturbation,2019/1/30,17:19:24,Passenger reason
perturbation,2019/1/30,9:14:06,Weather reason
perturbation,2019/1/30,5:34:25,Weather reason
perturbation,2019/1/29,20:37:40,Techique reason
perturbation,2019/1/29,15:35:06,Technique reason
perturbation,2019/1/29,8:51:23,Passenger reason
perturbation,2019/1/29,8:47:40,Passenger reason
perturbation,2019/1/28,8:37:59,Passenger reason
perturbation,2019/1/25,10:48:00,Operation problem
perturbation,2019/1/21,8:45:05,Passenger reason
perturbation,2019/1/21,8:27:49,Passenger reason
perturbation,2019/1/17,7:46:35,Techique reason
perturbation,2019/1/15,18:06:03,Technique reason
perturbation,2019/1/15,9:38:20,Security reason
perturbation,2019/1/15,9:27:25,Security reason
perturbation,2019/1/14,10:29:02,Passenger reason
perturbation,2019/1/11,8:26:26,Techique reason
